"","participant","group","ave_ae_Retention","ave_ae_Transfer","ave_ce_Retention","ave_ce_Transfer","ave_ve_Retention","ave_ve_Transfer","det_target","det_trial","det_diff"
"48",206,"Random",0.305041666666667,0.3128125,-0.305041666666667,-0.2986875,0.175182508350246,0.170245986247351,0.953991771396701,0.94685947287132,-0.00679544596561652
"49",207,"Blocked",0.292291666666667,0.2901875,-0.275958333333333,-0.2640625,0.178864894158465,0.195346689674196,0.959289391541934,0.954299276710642,-0.00478345211265942
"50",208,"Random",0.58395652173913,0.614866666666667,-0.58395652173913,-0.614866666666667,0.237071235604381,0.208387299676988,0.92643760546171,0.857448008883594,-0.0622818900186306
"51",209,"Blocked",0.391,0.273875,0.34404347826087,0.273875,0.335903595241913,0.173628290705557,0.884432437672291,0.884460556291924,2.52059803125121e-05
"52",210,"Random",0.141666666666667,0.1145,0.0753333333333333,-0.0155,0.16251492685066,0.146722413647904,0.841371797466495,0.805676670359123,-0.0303430523649123
"53",211,"Blocked",0.423291666666667,0.41675,-0.423291666666667,-0.402875,0.202222537591993,0.220842892874852,0.971537161300835,0.970495623158848,-0.00101220099430937
"54",212,"Random",0.222041666666667,0.247875,-0.163791666666667,-0.11275,0.217156120791244,0.293091908224479,0.923744153878667,0.971964097468944,0.045838117617021
"55",213,"Blocked",0.429333333333333,0.3194,-0.429333333333333,-0.3194,0.255190920287344,0.169615026288525,0.906573575889934,0.934920825197163,0.0262671351705129
"56",214,"Random",0.061625,0.05825,-0.0477916666666667,-0.0165,0.0606594049245218,0.0703467601717852,0.945029966371966,0.898059869393713,-0.0435600189308474
"57",215,"Blocked",0.322291666666667,0.2924375,-0.320125,-0.2924375,0.210724694184451,0.143571570421631,0.933293033916558,0.935849561277672,0.00239953042564126
"58",216,"Random",0.0881666666666667,0.099625,-0.005,0.0105,0.117772810031045,0.128884444367813,0.967270375340952,0.984225608285201,0.0165541487912473
"59",217,"Blocked",0.283458333333333,0.338375,-0.184041666666667,-0.3305,0.281359970448915,0.202731678169282,0.822891571484076,0.862855750294308,0.0345408714025934
"60",218,"Random",0.316833333333333,0.2152,0.152666666666667,-0.0196,0.356573995816792,0.285214155128588,0.965935139913605,0.983751433931991,0.0173795305995417
"61",219,"Blocked",0.214,0.2044375,-0.112,-0.0904375,0.239147944023014,0.234892590701935,0.854889930717168,0.859787198767446,0.00428585002999132
"62",220,"Random",0.200875,0.1764375,-0.191208333333333,-0.1614375,0.130684478692056,0.157124990055688,0.949431665228427,0.941269292702326,-0.00773945572111422
