"","participant","group","det_1back_target","det_2back_target","det_3back_target","det_4back_target","det_1back_trial","det_2back_trial","det_3back_trial","det_4back_trial"
"38","138","Random",0.99038516063873,0.974860894011324,0.93650826170161,0.895960356680505,0.998397779405631,0.970377555852692,0.937930529568988,0.891003250781798
"39","139","Blocked",0.962114582331427,0.921145452647591,0.88007667826706,0.835594628861526,0.963384275050795,0.928587097401447,0.894003600159956,0.860033212575866
"40","140","Random",0.960465153859809,0.927206415839062,0.906459372476399,0.858199887994761,0.974014200157401,0.949825043902537,0.909891238561366,0.860165760754778
"41","141","Blocked",0.994033487247276,0.989851286170618,0.982978969729936,0.95379934884012,0.993991625768087,0.989272493715988,0.982191856240485,0.954646008775278
"42","142","Random",0.976397566398217,0.943683538850677,0.90936274658864,0.871880118526534,0.958311452102259,0.913141496281394,0.870755916377176,0.8055647332545
"43","201","Blocked",0.999445917263218,0.993250828389746,0.984181286304714,0.977114837014587,0.998461776875119,0.992108630535444,0.985383145632572,0.978769729785688
"44","202","Random",0.98452953433748,0.955310978502188,0.92846827800909,0.907446412830777,0.996412630996053,0.991946739140061,0.98663566569895,0.96079505531723
"45","203","Blocked",0.96049114449174,0.93204039104708,0.907871623318474,0.88535726307263,0.96240372385184,0.936125814329453,0.914519274358852,0.895569868715958
"46","204","Random",0.992090729229891,0.979878461713652,0.963958317125348,0.948761540907884,0.975277743575105,0.945976922773983,0.91512293676356,0.872397182207275
"47","205","Blocked",0.994831789512368,0.971320743162965,0.943774879754242,0.916748445926214,0.99753801893885,0.97682361370601,0.950598091889383,0.921996328740437
"48","206","Random",0.993705129399614,0.982536918039529,0.967845114200789,0.953991771396701,0.998690396810093,0.994194339003883,0.983934324139924,0.94685947287132
"49","207","Blocked",0.995031695695678,0.985851897777579,0.973036271229979,0.959289391541934,0.993971220712552,0.983556909617124,0.96975521711343,0.954299276710642
"50","208","Random",0.984911230996054,0.961441777581693,0.943375217942497,0.92643760546171,0.952131576110815,0.916232597262802,0.885493155828783,0.857448008883594
"51","209","Blocked",0.997020270418438,0.957760414757516,0.918883583302234,0.884432437672291,0.997347631402352,0.95620427482147,0.917653304394661,0.884460556291924
"52","210","Random",0.974853382136205,0.925050115794735,0.875695888967133,0.841371797466495,0.993033778027711,0.934257748643919,0.866102201096934,0.805676670359123
"53","211","Blocked",0.994736786262766,0.98549629451044,0.979991090589394,0.971537161300835,0.994372374909214,0.984715851400573,0.978905200992469,0.970495623158848
"54","212","Random",0.989306707595393,0.980337288984159,0.950960311043693,0.923744153878667,0.999822120450466,0.994466757986912,0.985084850317163,0.971964097468944
"55","213","Blocked",0.992181385093426,0.964934551965661,0.940398018161397,0.906573575889934,0.989425419786255,0.97424663027475,0.958815167323724,0.934920825197163
"56","214","Random",0.982748764860263,0.980541351377948,0.979775506107053,0.945029966371966,0.995958927655844,0.988969624277125,0.967192679314591,0.898059869393713
"57","215","Blocked",0.984643909792949,0.982491735057326,0.961336728572275,0.933293033916558,0.980560630841313,0.969846433968823,0.953050641302564,0.935849561277672
"58","216","Random",0.995002479001415,0.990810675902326,0.980102281928306,0.967270375340952,0.999560241701995,0.998866384235838,0.997097092764661,0.984225608285201
"59","217","Blocked",0.985059409432573,0.937197179414124,0.880995813173438,0.822891571484076,0.98688533459074,0.95016478980244,0.908918825572657,0.862855750294308
"60","218","Random",0.999952423220877,0.999023842177342,0.996616942896029,0.965935139913605,0.998601308059475,0.995140097132008,0.990660877354736,0.983751433931991
"61","219","Blocked",0.976279044138973,0.949284415193069,0.906491832944795,0.854889930717168,0.976065315505663,0.950303513138733,0.908100057028729,0.859787198767446
"62","220","Random",0.987690530215561,0.975723251987656,0.963538916331552,0.949431665228427,0.992423364821434,0.978775704425583,0.963772586870318,0.941269292702326
"63","221","Blocked",0.976875142930986,0.941007947292835,0.903550582649085,0.851670349339008,0.975115784586932,0.938373585025686,0.90023839293479,0.861292646487736
"64","222","Random",0.998496360388504,0.996877687048749,0.991228233086297,0.983949725491666,0.997068354776967,0.993758597231918,0.9735784077414,0.953058701897916
"65","223","Blocked",0.999918127328374,0.995098082407207,0.987289854684003,0.943098687701168,0.998943906285741,0.994680553955915,0.987782279235951,0.943076262900282
"66","224","Random",0.989688057968133,0.968868476459458,0.91678627210705,0.86749439260162,0.990727649839892,0.965355188197185,0.937212857666372,0.88438575608619
"67","225","Blocked",0.965575361910282,0.924231303867612,0.877526235741082,0.828009325273779,0.963195306755725,0.917049318664714,0.874851510602573,0.824047662247309
"68","226","Random",0.951857564194901,0.871650047875505,0.792632784881267,0.711380028503612,0.961075902836439,0.895752543310029,0.830070075457165,0.762414021723098
"69","227","Blocked",0.998440632390553,0.998769486294228,0.984986575059911,0.963881982561672,0.999509723261322,0.99925131091786,0.985633091957728,0.970000428838079
"70","228","Random",0.991311049826347,0.969736625055978,0.941757400111898,0.903441595946879,0.978808492568197,0.960412426900339,0.934917309072559,0.908855063066864
"71","229","Blocked",0.949191578478092,0.881959052863574,0.81344326454523,0.730667081976298,0.948500342936628,0.893254964476299,0.832864932280386,0.760789714324593
"72","230","Random",0.933988800572251,0.844477569119046,0.744639869537212,0.668262470555625,0.971964257473644,0.909759168063233,0.828573067736301,0.738885085275224
"73","231","Blocked",0.99360540307329,0.992121299430325,0.990081146196643,0.980848470512831,0.995615218768686,0.988208796107239,0.981450876197514,0.974735657121397
"74","232","Random",0.965619535381621,0.912879278649576,0.862782398862537,0.80059665848541,0.980454303366449,0.94878964922347,0.923522053527596,0.833064248495332
"75","233","Blocked",0.988234151961399,0.975584066065549,0.969366754395465,0.954978116470288,0.989387697254388,0.975863277485308,0.958933035551456,0.942124176048343
"76","234","Random",0.985838030309031,0.971629008331205,0.963167036066403,0.951315631997239,0.999988937359899,0.987240057135272,0.965338357036248,0.944877074191502
"77","235","Blocked",0.953286467783463,0.877146583994601,0.792999430778679,0.663131868984621,0.958069319444579,0.889768989882504,0.809679227560261,0.694980857063131
"78","236","Random",0.953998749934957,0.927689633632843,0.859088945547955,0.768172935486899,0.989078582655746,0.970859520670835,0.960139054095775,0.952347739567929
"79","237","Random",0.807349729160231,0.626166719815903,0.467718534159364,0.336311066203131,0.997302679012532,0.9786498525492,0.952617482052119,0.934728960110439
"80","238","Random",0.992971254991639,0.985731475013592,0.954459810973148,0.911558130203898,0.994664535385722,0.985579248381711,0.958474327503365,0.938232595920865
"81","239","Blocked",0.989375769127824,0.989285511082022,0.975114072254843,0.962455883921509,0.996415590890772,0.996191161921472,0.989090248008118,0.983801859657657
"82","240","Random",0.999009174748554,0.997258101814395,0.98095393665842,0.950038518314475,0.995995173228653,0.992447795867157,0.968958950103207,0.931088612433395
"83","241","Blocked",0.995976598413954,0.968314927827653,0.95396364764518,0.925219629384612,0.996097140916327,0.969736221256469,0.954435705211596,0.929845052899883
"84","242","Random",0.995614929346396,0.982012902809699,0.961030206513633,0.912134034662152,0.999960707235482,0.996970306451869,0.993809501972832,0.990979521079067
