"","participant","group","lag","det_target","det_trial","explained_variance_target","explained_variance_trial","log_exp_var_target","log_exp_var_trial","var_diff","det_diff"
"164","141","Blocked","4back",0.95379934884012,0.954646008775278,0.0462006511598796,0.0453539912247224,0.0451651743589588,0.0443555756382318,0.000809598720726994,0.000809598720726994
"165","142","Random","1back",0.976397566398217,0.958311452102259,0.0236024336017828,0.0416885478977415,0.0233282027936197,0.0408430002814645,-0.0175147974878448,-0.0175147974878448
"166","142","Random","2back",0.943683538850677,0.913141496281394,0.0563164611493228,0.0868585037186058,0.0547878195079286,0.0832914282940163,-0.0285036087860876,-0.0285036087860876
"167","142","Random","3back",0.90936274658864,0.870755916377176,0.0906372534113604,0.129244083622824,0.0867621615651258,0.121548456329486,-0.0347862947643604,-0.0347862947643604
"168","142","Random","4back",0.871880118526534,0.8055647332545,0.128119881473466,0.1944352667455,0.12055242533078,0.177673493553003,-0.057121068222223,-0.057121068222223
"169","201","Blocked","1back",0.999445917263218,0.998461776875119,0.000554082736782258,0.00153822312488061,0.000553929289621656,0.00153704127150389,-0.00098311198188223,-0.00098311198188223
"170","201","Blocked","2back",0.993250828389746,0.992108630535444,0.00674917161025435,0.00789136946455637,0.00672649791348265,0.00786039545340994,-0.00113389753992729,-0.00113389753992729
"171","201","Blocked","3back",0.984181286304714,0.985383145632572,0.0158187136952864,0.014616854367428,0.0156949018332364,0.0145110578471199,0.00118384398611648,0.00118384398611648
"172","201","Blocked","4back",0.977114837014587,0.978769729785688,0.0228851629854128,0.0212302702143116,0.0226272255221849,0.0210080477538642,0.00161917776832064,0.00161917776832064
"173","202","Random","1back",0.98452953433748,0.996412630996053,0.0154704656625196,0.0035873690039474,0.0153520180727975,0.00358094974335242,0.0117710683294451,0.0117710683294451
"174","202","Random","2back",0.955310978502188,0.991946739140061,0.0446890214978121,0.00805326085993885,0.0437192540455181,0.00802100640799199,0.0356982476375262,0.0356982476375262
"175","202","Random","3back",0.92846827800909,0.98663566569895,0.0715317219909096,0.0133643343010499,0.0690891407111032,0.0132758193423091,0.0558133213687941,0.0558133213687941
"176","202","Random","4back",0.907446412830777,0.96079505531723,0.0925535871692231,0.0392049446827705,0.0885176968251731,0.0384559445257218,0.0500617522994513,0.0500617522994513
"177","203","Blocked","1back",0.96049114449174,0.96240372385184,0.0395088555082604,0.0375962761481603,0.0387483472871095,0.0369067651047906,0.00184158218231887,0.00184158218231887
"178","203","Blocked","2back",0.93204039104708,0.936125814329453,0.0679596089529204,0.0638741856705473,0.0657499204903626,0.0619171373775405,0.00383278311282208,0.00383278311282208
"179","203","Blocked","3back",0.907871623318474,0.914519274358852,0.0921283766815256,0.0854807256411478,0.0881284314766212,0.0820229539751096,0.00610547750151164,0.00610547750151164
"180","203","Blocked","4back",0.88535726307263,0.895569868715958,0.11464273692737,0.104430131284042,0.108533938256353,0.099329483646313,0.00920445461003956,0.00920445461003956
"181","204","Random","1back",0.992090729229891,0.975277743575105,0.00790927077010861,0.0247222564248946,0.00787815644147147,0.0244216065299799,-0.0165434500885084,-0.0165434500885084
"182","204","Random","2back",0.979878461713652,0.945976922773983,0.0201215382863481,0.0540230772260172,0.0199217753804589,0.0526143447808252,-0.0326925694003663,-0.0326925694003663
"183","204","Random","3back",0.963958317125348,0.91512293676356,0.0360416828746524,0.0848770632364401,0.0354073774629008,0.0814666747999727,-0.0460592973370719,-0.0460592973370719
"184","204","Random","4back",0.948761540907884,0.872397182207275,0.0512384590921158,0.127602817792725,0.0499689539732878,0.120093979184039,-0.0701250252107513,-0.0701250252107513
"185","205","Blocked","1back",0.994831789512368,0.99753801893885,0.00516821048763227,0.00246198106115003,0.00515490112517215,0.0024589553509205,0.00269594577425165,0.00269594577425165
