"","participant","group","label","det","phase_space","lag"
"215","127","Blocked","det_3back_trial",0.890936728111571,"trial","3back"
"216","127","Blocked","det_4back_trial",0.847288061270224,"trial","4back"
"217","128","Random","det_1back_target",0.98586450250246,"target","1back"
"218","128","Random","det_2back_target",0.96907510538594,"target","2back"
"219","128","Random","det_3back_target",0.915425822485067,"target","3back"
"220","128","Random","det_4back_target",0.868149811253581,"target","4back"
"221","128","Random","det_1back_trial",0.997862018233586,"trial","1back"
"222","128","Random","det_2back_trial",0.994913237440707,"trial","2back"
"223","128","Random","det_3back_trial",0.991553253240912,"trial","3back"
"224","128","Random","det_4back_trial",0.973687307831456,"trial","4back"
"225","129","Blocked","det_1back_target",0.988912723172256,"target","1back"
"226","129","Blocked","det_2back_target",0.976912945530084,"target","2back"
"227","129","Blocked","det_3back_target",0.965113159034499,"target","3back"
"228","129","Blocked","det_4back_target",0.950994944764784,"target","4back"
"229","129","Blocked","det_1back_trial",0.989093730122289,"trial","1back"
"230","129","Blocked","det_2back_trial",0.977637070675737,"trial","2back"
"231","129","Blocked","det_3back_trial",0.966851518732147,"trial","3back"
"232","129","Blocked","det_4back_trial",0.953600554152758,"trial","4back"
"233","130","Random","det_1back_target",0.935043007495536,"target","1back"
"234","130","Random","det_2back_target",0.834531853345512,"target","2back"
"235","130","Random","det_3back_target",0.73224209409732,"target","3back"
"236","130","Random","det_4back_target",0.617172034829884,"target","4back"
"237","130","Random","det_1back_trial",0.992419398146973,"trial","1back"
"238","130","Random","det_2back_trial",0.96942491382496,"trial","2back"
"239","130","Random","det_3back_trial",0.952686790910084,"trial","3back"
"240","130","Random","det_4back_trial",0.942214856527864,"trial","4back"
"241","131","Blocked","det_1back_target",0.985057047326934,"target","1back"
"242","131","Blocked","det_2back_target",0.956015193079609,"target","2back"
"243","131","Blocked","det_3back_target",0.920135207603979,"target","3back"
"244","131","Blocked","det_4back_target",0.883611193898581,"target","4back"
"245","131","Blocked","det_1back_trial",0.989135868000963,"trial","1back"
"246","131","Blocked","det_2back_trial",0.964701308497976,"trial","2back"
"247","131","Blocked","det_3back_trial",0.934175737305178,"trial","3back"
"248","131","Blocked","det_4back_trial",0.905867017557367,"trial","4back"
"249","132","Random","det_1back_target",0.91086663582977,"target","1back"
"250","132","Random","det_2back_target",0.812785441321534,"target","2back"
"251","132","Random","det_3back_target",0.715569315035681,"target","3back"
"252","132","Random","det_4back_target",0.625239100977358,"target","4back"
"253","132","Random","det_1back_trial",0.959219152170275,"trial","1back"
"254","132","Random","det_2back_trial",0.88516909023878,"trial","2back"
"255","132","Random","det_3back_trial",0.782810358515405,"trial","3back"
"256","132","Random","det_4back_trial",0.661418866829975,"trial","4back"
"257","133","Blocked","det_1back_target",0.999812089645261,"target","1back"
"258","133","Blocked","det_2back_target",0.999483806120565,"target","2back"
"259","133","Blocked","det_3back_target",0.989621155215129,"target","3back"
"260","133","Blocked","det_4back_target",0.975818022668538,"target","4back"
"261","133","Blocked","det_1back_trial",0.999794935444569,"trial","1back"
"262","133","Blocked","det_2back_trial",0.999563994767731,"trial","2back"
"263","133","Blocked","det_3back_trial",0.991783657678337,"trial","3back"
"264","133","Blocked","det_4back_trial",0.981215862659404,"trial","4back"
"265","134","Random","det_1back_target",0.967607578930166,"target","1back"
"266","134","Random","det_2back_target",0.92695435696548,"target","2back"
"267","134","Random","det_3back_target",0.886449354098988,"target","3back"
"268","134","Random","det_4back_target",0.842922999827082,"target","4back"
"269","134","Random","det_1back_trial",0.99980245894373,"trial","1back"
"270","134","Random","det_2back_trial",0.997739534246747,"trial","2back"
"271","134","Random","det_3back_trial",0.991637734386887,"trial","3back"
"272","134","Random","det_4back_trial",0.974954266105523,"trial","4back"
"273","135","Blocked","det_1back_target",0.999229569065438,"target","1back"
"274","135","Blocked","det_2back_target",0.991345597795478,"target","2back"
"275","135","Blocked","det_3back_target",0.969386963458929,"target","3back"
"276","135","Blocked","det_4back_target",0.946860666031553,"target","4back"
"277","135","Blocked","det_1back_trial",0.999859978970136,"trial","1back"
"278","135","Blocked","det_2back_trial",0.992260802422926,"trial","2back"
"279","135","Blocked","det_3back_trial",0.970296002876958,"trial","3back"
"280","135","Blocked","det_4back_trial",0.949349778934623,"trial","4back"
"281","136","Random","det_1back_target",0.985988475712169,"target","1back"
"282","136","Random","det_2back_target",0.899345717515365,"target","2back"
"283","136","Random","det_3back_target",0.827457319463203,"target","3back"
"284","136","Random","det_4back_target",0.76407377951992,"target","4back"
"285","136","Random","det_1back_trial",0.990251077421807,"trial","1back"
"286","136","Random","det_2back_trial",0.947291165756754,"trial","2back"
"287","136","Random","det_3back_trial",0.894740706916651,"trial","3back"
"288","136","Random","det_4back_trial",0.825874269337222,"trial","4back"
"289","137","Blocked","det_1back_target",0.990395520267007,"target","1back"
"290","137","Blocked","det_2back_target",0.979273355465115,"target","2back"
"291","137","Blocked","det_3back_target",0.934059027994255,"target","3back"
"292","137","Blocked","det_4back_target",0.888470527833497,"target","4back"
"293","137","Blocked","det_1back_trial",0.991530032145053,"trial","1back"
"294","137","Blocked","det_2back_trial",0.98444010458348,"trial","2back"
"295","137","Blocked","det_3back_trial",0.938905855302611,"trial","3back"
"296","137","Blocked","det_4back_trial",0.896471498583055,"trial","4back"
"297","138","Random","det_1back_target",0.99038516063873,"target","1back"
"298","138","Random","det_2back_target",0.974860894011324,"target","2back"
"299","138","Random","det_3back_target",0.93650826170161,"target","3back"
"300","138","Random","det_4back_target",0.895960356680505,"target","4back"
"301","138","Random","det_1back_trial",0.998397779405631,"trial","1back"
"302","138","Random","det_2back_trial",0.970377555852692,"trial","2back"
